epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,70129.1,2.04123,2.4442,2.07096,0.29668,0.27698,0.17942,0.07801,2.10782,2.89128,2.15501,0.00167244,0.00167244,0.00167244
82,70493.4,2.0492,2.47606,2.0918,0.3428,0.28417,0.21483,0.09104,2.1369,2.74355,2.13444,0.0016647,0.0016647,0.0016647
83,70778.4,2.01992,2.45289,2.06469,0.31373,0.32734,0.23599,0.09095,2.13154,2.67044,2.18976,0.00165689,0.00165689,0.00165689
84,71215,2.05138,2.4709,2.09739,0.28021,0.27698,0.17356,0.07127,2.13634,2.87812,2.13513,0.001649,0.001649,0.001649
85,71788.6,2.04392,2.47497,2.07067,0.33164,0.27666,0.19342,0.0768,2.14273,2.94252,2.17673,0.00164105,0.00164105,0.00164105
86,72031.2,2.02657,2.45172,2.06164,0.27377,0.2554,0.15171,0.06276,2.11814,3.31664,2.12157,0.00163303,0.00163303,0.00163303
87,72365,2.01946,2.4282,2.04291,0.3295,0.27698,0.22854,0.09146,2.16618,2.86718,2.18981,0.00162494,0.00162494,0.00162494
88,72673.5,2.01738,2.42882,2.06628,0.34832,0.27494,0.23216,0.08566,2.12744,2.78061,2.17782,0.00161678,0.00161678,0.00161678
89,72913,2.01403,2.42227,2.05635,0.34993,0.23022,0.18598,0.07933,2.14218,3.05131,2.19121,0.00160855,0.00160855,0.00160855
90,73218.4,2.00559,2.40134,2.04324,0.31848,0.28058,0.21066,0.08521,2.1671,2.77673,2.19601,0.00160026,0.00160026,0.00160026
91,73590.5,2.03915,2.41706,2.0794,0.28701,0.27338,0.18755,0.07677,2.11519,2.98616,2.17856,0.00159191,0.00159191,0.00159191
92,74025,1.99236,2.39104,2.04341,0.30068,0.29856,0.22485,0.08797,2.10149,2.78355,2.14155,0.00158349,0.00158349,0.00158349
93,74442.6,2.01995,2.40931,2.03863,0.36224,0.21223,0.18574,0.07921,2.16785,2.87019,2.21141,0.00157501,0.00157501,0.00157501
